"pid","condition","question_cond","item_order","trial","item_1","item_2","item_type","rt","rating"
"5654","tax_order1","tax","1",1,"KNOB","COLD","unr_item",11.724,39.15
"5654","tax_order1","tax","1",2,"PACKAGE","DELIVERY","the_item",11.635,59.92
"5654","tax_order1","tax","1",3,"CITY","VILLAGE","tax_item",8.684,42.33
"5654","tax_order1","tax","1",4,"TOAD","GAS","unr_item",9.185,2.65
"5654","tax_order1","tax","1",5,"RECEPTIONIST","TELEPHONE","the_item",4.969,68.78
"5654","tax_order1","tax","1",6,"COOKIE","CHOCOLATE","the_item",4.315,89.68
"5654","tax_order1","tax","1",7,"ATHLETE","SALON","unr_item",5.567,0.26
"5654","tax_order1","tax","1",8,"TOAST","BISCUITS","tax_item",3.572,15.48
"5654","tax_order1","tax","1",9,"COW","PIG","tax_item",6.716,39.15
"5654","tax_order1","tax","1",10,"PAN","OVEN","the_item",2.714,73.94
"5654","tax_order1","tax","1",11,"SHEEP","MINT","unr_item",3.214,14.42
"5654","tax_order1","tax","1",12,"TRUCK","TRAILER","the_item",5.436,72.62
"5654","tax_order1","tax","1",13,"ONION","GARLIC","tax_item",5.669,30.03
"5654","tax_order1","tax","1",14,"TEETH","ICE","unr_item",3.053,1.46
"5654","tax_order1","tax","1",15,"SPOON","LADLE","tax_item",4.269,100
"5654","tax_order1","tax","1",16,"BANK","FISH","unr_item",4.609,0
"5654","tax_order1","tax","1",17,"FIREMAN","POLICE","tax_item",4.088,39.81
"5654","tax_order1","tax","1",18,"CUP","BOWL","tax_item",3.557,6.75
"5654","tax_order1","tax","1",19,"CAMEL","DESERT","the_item",2.305,78.04
"5654","tax_order1","tax","1",20,"CHAIR","SOFA","tax_item",3.758,49.87
"5654","tax_order1","tax","1",21,"HAPPY","SMILE","the_item",5.804,80.29
"5654","tax_order1","tax","1",22,"EAR","BENCH","unr_item",5.954,1.32
"5654","tax_order1","tax","1",23,"PENGUIN","ICE","the_item",6.746,85.05
"5654","tax_order1","tax","1",24,"CORK","ENGINE","unr_item",4.196,23.94
"5654","tax_order1","tax","1",25,"COACH","ASPHALT","unr_item",3.055,4.89
"5654","tax_order1","tax","1",26,"LAMP","TRUCK","unr_item",6.514,0.4
"5654","tax_order1","tax","1",27,"SHOE","FOOT","the_item",3.337,99.21
"5654","tax_order1","tax","1",28,"SILVER","BULLET","the_item",5.545,96.96
